file_name,fold,target,category,esc10,src_file,take,attr_id,attr_lic,attr_url,attr_note
dog/1-100032-A-0.wav,1,0,dog,True,100032,A,nfrae,CC0,http://www.freesound.org/people/nfrae/sounds/100032/,clip derived from rose_bark.wav
chirping_birds/1-100038-A-14.wav,1,14,chirping_birds,False,100038,A,soundbytez,CC-BY,http://www.freesound.org/people/soundbytez/sounds/100038/,clip derived from saz_birds_hyena.wav
vacuum_cleaner/1-100210-A-36.wav,1,36,vacuum_cleaner,False,100210,A,joshfeed,CC-BY-NC,http://www.freesound.org/people/joshfeed/sounds/100210/,clip derived from Vacuum Cleaner-Samsung Easy 1300.wav
vacuum_cleaner/1-100210-B-36.wav,1,36,vacuum_cleaner,False,100210,B,joshfeed,CC-BY-NC,http://www.freesound.org/people/joshfeed/sounds/100210/,clip derived from Vacuum Cleaner-Samsung Easy 1300.wav
thunderstorm/1-101296-A-19.wav,1,19,thunderstorm,False,101296,A,raoul_slayer,CC0,http://www.freesound.org/people/raoul_slayer/sounds/101296/,clip derived from thunderstorm.wav
thunderstorm/1-101296-B-19.wav,1,19,thunderstorm,False,101296,B,raoul_slayer,CC0,http://www.freesound.org/people/raoul_slayer/sounds/101296/,clip derived from thunderstorm.wav
door_wood_knock/1-101336-A-30.wav,1,30,door_wood_knock,False,101336,A,Robinhood76,CC-BY-NC,http://www.freesound.org/people/Robinhood76/sounds/101336/,clip derived from 01801 knocking.wav
can_opening/1-101404-A-34.wav,1,34,can_opening,False,101404,A,LG,CC-BY,http://www.freesound.org/people/LG/sounds/101404/,clip derived from Can Open.WAV
crow/1-103298-A-9.wav,1,9,crow,False,103298,A,Flemur,CC-Sampling+,http://www.freesound.org/people/Flemur/sounds/103298/,clip derived from br_Woodsy_Ambiance2.mp3
door_wood_knock/1-103995-A-30.wav,1,30,door_wood_knock,False,103995,A,RutgerMuller,CC0,http://www.freesound.org/people/RutgerMuller/sounds/103995/,clip derived from Bassdrum_Shell_Ticks.aif
door_wood_knock/1-103999-A-30.wav,1,30,door_wood_knock,False,103999,A,RutgerMuller,CC0,http://www.freesound.org/people/RutgerMuller/sounds/103999/,clip derived from Wood_Knocks_2.aif
clapping/1-104089-A-22.wav,1,22,clapping,False,104089,A,sorohanro,CC-BY,http://www.freesound.org/people/sorohanro/sounds/104089/,clip derived from Clapping Small Room.wav
clapping/1-104089-B-22.wav,1,22,clapping,False,104089,B,sorohanro,CC-BY,http://www.freesound.org/people/sorohanro/sounds/104089/,clip derived from Clapping Small Room.wav
clapping/1-105224-A-22.wav,1,22,clapping,False,105224,A,club sound,CC-BY-NC,http://www.freesound.org/people/club%20sound/sounds/105224/,clip derived from Crowd Claps.wav
dog/1-110389-A-0.wav,1,0,dog,True,110389,A,soundscalpel.com,CC-BY,http://www.freesound.org/people/soundscalpel.com/sounds/110389/,clip derived from animals_dog_bark_springer_spaniel_001.wav
clapping/1-110537-A-22.wav,1,22,clapping,False,110537,A,soundbyter.com,CC-Sampling+,http://www.freesound.org/people/soundbyter.com/sounds/110537/,clip derived from www.soundbyter.com_LargeAudienceClapping.wav
thunderstorm/1-115521-A-19.wav,1,19,thunderstorm,False,115521,A,csengeri,CC-BY,http://www.freesound.org/people/csengeri/sounds/115521/,clip derived from 20100614thunder7.wav
