file_name,split,target,label,attr_id,attr_lic,attr_url,attr_note
pseudacris_crucifer/inat_329872557_sound_1710947.wav,train,24268,pseudacris_crucifer,brandonjjohnson,cc-by,https://static.inaturalist.org/sounds/1710947.m4a?1765135326,modified clip from original source
pseudacris_crucifer/inat_328494513_sound_1703867.wav,train,24268,pseudacris_crucifer,gregallen1973,cc-by-nc,https://static.inaturalist.org/sounds/1703867.wav?1764257978,
pseudacris_crucifer/inat_328083019_sound_1701923.wav,train,24268,pseudacris_crucifer,gregnaturewizard,cc-by-nc,https://static.inaturalist.org/sounds/1701923.m4a?1764009122,modified clip from original source
pseudacris_crucifer/inat_327668462_sound_1699762.wav,train,24268,pseudacris_crucifer,richardjbuist,cc-by-nc,https://static.inaturalist.org/sounds/1699762.wav?1763823619,
pseudacris_crucifer/inat_327047859_sound_1696882.wav,train,24268,pseudacris_crucifer,reya,cc-by-nc,https://static.inaturalist.org/sounds/1696882.m4a?1763431244,modified clip from original source
pseudacris_crucifer/inat_326282259_sound_1692768.wav,train,24268,pseudacris_crucifer,syrherp,cc-by-nc,https://static.inaturalist.org/sounds/1692768.m4a?1763006139,modified clip from original source
pseudacris_crucifer/inat_326281902_sound_1692759.wav,train,24268,pseudacris_crucifer,syrherp,cc-by-nc,https://static.inaturalist.org/sounds/1692759.m4a?1763005711,modified clip from original source
pseudacris_crucifer/inat_326141775_sound_1692019.wav,train,24268,pseudacris_crucifer,syrherp,cc-by-nc,https://static.inaturalist.org/sounds/1692019.m4a?1762923807,modified clip from original source
pseudacris_crucifer/inat_326140853_sound_1692013.wav,train,24268,pseudacris_crucifer,syrherp,cc-by-nc,https://static.inaturalist.org/sounds/1692013.m4a?1762923369,modified clip from original source
pseudacris_crucifer/inat_326052135_sound_1691603.wav,train,24268,pseudacris_crucifer,chelseahl,cc-by-nc,https://static.inaturalist.org/sounds/1691603.m4a?1762882474,modified clip from original source
pseudacris_crucifer/inat_325924981_sound_1691060.wav,train,24268,pseudacris_crucifer,arttimmerman,cc-by-nc,https://static.inaturalist.org/sounds/1691060.m4a?1762808692,modified clip from original source
pseudacris_crucifer/inat_325861115_sound_1690752.wav,train,24268,pseudacris_crucifer,zitserm,cc-by-nc,https://static.inaturalist.org/sounds/1690752.m4a?1762778459,modified clip from original source
pseudacris_crucifer/inat_325861115_sound_1690751.wav,train,24268,pseudacris_crucifer,zitserm,cc-by-nc,https://static.inaturalist.org/sounds/1690751.m4a?1762778457,modified clip from original source
pseudacris_crucifer/inat_325734765_sound_1690222.wav,train,24268,pseudacris_crucifer,phusiologos,cc-by-nc,https://static.inaturalist.org/sounds/1690222.m4a?1762715675,modified clip from original source
pseudacris_crucifer/inat_325573761_sound_1689571.wav,train,24268,pseudacris_crucifer,gwtstl,cc-by,https://static.inaturalist.org/sounds/1689571.m4a?1762640650,modified clip from original source
